hotel,b,d,u
Hotel Russo Palace,0.43,0.54,0.03
Americas Best Value Inn,0.3,0.7,0.0
Intermezzo,0.0,0.33,0.67
Studio 6,0.0,0.67,0.33
Little Paradise Hotel,0.47,0.44,0.09
Comfort Suites,0.43,0.56,0.01
Thunderbird Executive Inn and Conference Center,0.11,0.22,0.67
Little Belt Inn Neihart,0.0,0.5,0.5
Hawthorn Suites By Wyndham Livermore Wine Country,0.42,0.56,0.02
Fairfield Inn By Marriott Binghamton,0.44,0.53,0.03
Howard Johnson,0.24,0.43,0.33
La Quinta,0.21,0.59,0.2
Days Inn El Reno Ok,0.31,0.63,0.06
Gresham Area Hotels,0.0,0.33,0.67
Berney Fly Bed and Breakfast,0.48,0.47,0.05
Polynesian Plaza,0.32,0.59,0.09
Hotel Vier Jahreszeiten KÜhlungsborn,0.43,0.53,0.04
The Point,0.45,0.41,0.14
The Houstonian Hotel,0.5,0.47,0.03
Best Western Plus Waterville Grand Hotel,0.4,0.59,0.01
The Amble Inn,0.0,0.33,0.67
Howard Johnson Inn Columbia,0.36,0.62,0.02
Osage Village Inn,0.41,0.48,0.11
Super 8 Columbia Dwntwn Sc,0.2,0.72,0.08
The Kingsport Inn,0.0,0.33,0.67
Azul Beach Hotel By Karisma Gourmet Inclusive,0.41,0.48,0.11
Red Roof Inn,0.06,0.44,0.5
Ocean Breeze Motel Apts,0.22,0.28,0.5
Days Inn Branson / Near The Strip,0.4,0.57,0.03
Country Lodge Motel,0.37,0.46,0.17
The Inn @ St. Botolph,0.46,0.45,0.09
Quality Inn,0.33,0.66,0.01
Comfort Suites Southport,0.42,0.55,0.03
Ramada,0.4,0.57,0.03
Ambassadors Inn and Suites,0.29,0.69,0.02
Tryp Dusseldorf Krefeld Hotel,0.43,0.53,0.04
Rodeway Inn,0.3,0.64,0.06
Centennial Bed and Breakfast,0.35,0.47,0.18
Americinn Lodge Suites Oscoda - Ausable River,0.47,0.42,0.11
Bridgetown Mill House Restaurant Inn,0.33,0.52,0.15
Gran Melia Victoria,0.49,0.48,0.03
Kaier Mansion,0.0,0.33,0.67
The National Conference Center,0.36,0.6,0.04
Holiday Inn Express & Suites Lenoir City (knoxville Area),0.37,0.58,0.05
Manor Vail Lodge,0.0,0.6,0.4
Economy Inn,0.2,0.74,0.06
"The Golden Hotel, An Ascend Hotel Collection Member",0.0,0.33,0.67
Hyatt Regency Reston,0.0,0.0,1.0
Glendale Gaslight Inn,0.22,0.28,0.5
Super 8,0.23,0.67,0.1
Motel 6,0.28,0.62,0.1
Country Inn Walker,0.49,0.49,0.02
Mt Gardner Inn,0.5,0.44,0.06
Hotel De La Ville,0.5,0.47,0.03
Econo Lodge St Robert,0.31,0.61,0.08
La Quinta Inn-houston,0.44,0.36,0.2
